School Name,Student Size,Endowment,In-State Tuition,Median Salary (1 Year After Graduation),Completion Rate,Overall Admission Rate,Carnegie Classification (Undergraduate),Carnegie Size Setting,Average SAT Score,School Locale,Student-Faculty Ratio,Percent Male Enrollment,Percent Female Enrollment,Asian Enrollment,Black Enrollment,White Enrollment,Hispanic Enrollment,Native American Enrollment,Native Hawaiian Enrollment,Diversity Index,Gender Shannon Index
Aurora University,3987,45525480,27420,48840,0.644,0.819,11,12,1087,21,18,0.3298,0.6702,0.0356,0.0599,0.4046,0.3958,0.002,0.0005,0.67478158,0.914721903
Bradley University,4133,345573676,37800,51073,0.7662,0.7514,12,13,1208,12,12,0.4914,0.5086,0.0443,0.0881,0.648,0.1379,0.0022,0.0005,0.5513504,0.999786586
University of Chicago,7511,8569802385,64260,77119,0.9584,0.0543,14,17,1532,11,5,0.5312,0.4688,0.1978,0.0674,0.3215,0.1631,0.0001,0.0001,0.82636852,0.99718942
DePaul University,13968,817889000,42840,47990,0.6907,0.7017,13,15,1221,11,17,0.4504,0.5496,0.1206,0.075,0.482,0.2319,0.0007,0.0005,0.69372829,0.99288979
Eastern Illinois University,4586,66617761,13101,40194,0.573,0.6796,11,14,1000,32,15,0.3868,0.6132,0.012,0.2098,0.5578,0.1001,0.0024,0.0011,0.63467214,0.962703396
Elmhurst University,2897,152576718,40232,46060,0.699,0.7601,13,13,1107,21,13,0.3856,0.6144,0.0766,0.0525,0.4867,0.282,0.0017,0.001,0.67497141,0.961901291
Governors State University,2589,3363463,10468,43030,0.5639,0.5748,7,12,945,41,10,0.3681,0.6319,0.0236,0.3998,0.2951,0.1935,0.0023,0.0008,0.71507081,0.949202043
Greenville University,902,29729957,30548,35775,0.5867,0.9412,11,8,1003,32,12,0.5355,0.4645,0.0033,0.1308,0.5976,0.0732,0.0022,0.0022,0.62038679,0.996360626
University of Illinois Chicago,21567,540812282,14046,47662,0.6983,0.7869,13,15,1232,11,18,0.4675,0.5325,0.2106,0.0759,0.2336,0.3632,0.0004,0.0002,0.76340343,0.996950157
University of Illinois Urbana-Champaign,34031,2233438413,15714,53513,0.8732,0.4482,14,16,1440,13,21,0.5335,0.4665,0.2222,0.0591,0.3932,0.1377,0.0003,0.0003,0.77356664,0.996759444
Illinois Wesleyan University,1518,269244872,53814,50219,0.8045,0.4222,12,11,1263,13,11,0.5125,0.4875,0.0711,0.0731,0.691,0.0916,0.0013,0.0013,0.50372624,0.999549111
Illinois College,1011,146550216,36346,37109,0.6548,0.7718,13,11,1076,32,12,0.4698,0.5302,0.0089,0.087,0.7141,0.1009,0.002,0,0.47222817,0.997366806
Illinois Institute of Technology,2877,289121000,50640,64069,0.7432,0.6144,15,14,1328,11,13,0.6722,0.3278,0.1693,0.0494,0.3629,0.2117,0,0.0007,0.79238336,0.912662835
Illinois State University,18019,193093113,15170,46159,0.7189,0.8624,13,16,1111,22,19,0.4353,0.5647,0.0265,0.1052,0.6859,0.1295,0.0011,0.0004,0.50100028,0.987887562
Judson University,781,6962603,30910,40559,0.6177,0.582,11,11,1032,12,10,0.5045,0.4955,0.0179,0.114,0.3585,0.3739,0.0013,0.0026,0.71835168,0.99994157
Knox College,1051,182154504,53259,26306,0.7248,0.7332,12,11,1311,32,9,0.4405,0.5595,0.0447,0.0637,0.4862,0.1313,0.0029,0,0.74030568,0.989760751
Lake Forest College,1724,105290305,52902,38437,0.7695,0.5972,13,11,1281,21,12,0.4142,0.5858,0.0632,0.0342,0.4745,0.2036,0.0041,0.0012,0.72821466,0.978653303
Lewis University,3650,100755611,36530,49355,0.7087,0.7406,13,13,1133,21,14,0.5156,0.4844,0.0668,0.0616,0.5647,0.2395,0.0019,0.0016,0.61549069,0.999297698
Loyola University Chicago,11626,900070383,49498,50621,0.7266,0.7915,14,16,1308,11,13,0.3112,0.6888,0.1306,0.0624,0.508,0.208,0.001,0.0009,0.67772007,0.894553799
Millikin University,1603,102221463,26892,40104,0.6149,0.754,11,10,1087,13,10,0.451,0.549,0.0187,0.1859,0.6606,0.0443,0.0019,0.0019,0.52672943,0.993061046
Monmouth College,761,121881403,42214,33299,0.618,0.907,12,8,1141,32,10,0.5085,0.4915,0.0145,0.088,0.6859,0.1183,0.0026,0,0.50758529,0.999791521
North Central College,2304,119133580,43046,39312,0.6913,0.6087,13,11,1138,12,12,0.4918,0.5082,0.0425,0.0543,0.6263,0.1667,0.0009,0,0.57520387,0.999805978
North Park University,1866,99496350,34020,45365,0.601,0.6801,11,11,1120,11,10,0.4191,0.5809,0.0922,0.0911,0.3151,0.336,0.0016,0.0016,0.77101082,0.981032399
Northwestern University,8837,10879850000,63468,73331,0.9484,0.0721,14,16,1526,13,6,0.4625,0.5375,0.2087,0.067,0.373,0.1419,0.0011,0.0011,0.79268828,0.995938608
Rockford University,908,26769658,35050,50357,0.4655,0.5491,11,10,980,12,10,0.4626,0.5374,0.0187,0.1322,0.4174,0.1663,0.0022,0.0011,0.78028897,0.99596026
Roosevelt University,2362,145347000,33068,42417,0.5395,0.8832,11,13,973,11,11,0.3984,0.6016,0.0508,0.2091,0.3188,0.3268,0.0047,0.0004,0.74524262,0.970006957
Dominican University,2119,47176105,36500,41807,0.6706,0.8953,11,9,1012,21,11,0.2879,0.7121,0.0293,0.0496,0.2109,0.6616,0.0014,0.0009,0.51448521,0.865993065
University of St Francis,1390,26620483,36000,62990,0.6706,0.5842,11,10,1166,21,13,0.3281,0.6719,0.0367,0.0942,0.495,0.295,0.0043,0.0014,0.65770902,0.912973363
University of Illinois Springfield,2348,28369606,12077,45024,0.5677,0.8203,7,10,1125,12,12,0.457,0.543,0.0392,0.1316,0.6299,0.1099,0.0017,0.0009,0.57228908,0.994658318
Southern Illinois University-Carbondale,7922,174737614,15416,42911,0.5634,0.915,11,14,1068,13,11,0.4989,0.5011,0.0184,0.1674,0.6604,0.0937,0.0024,0.0009,0.52672426,0.999996509
Southern Illinois University-Edwardsville,9283,33704893,12558,48249,0.5725,0.9751,13,16,1080,21,15,0.4271,0.5729,0.024,0.1381,0.6865,0.0634,0.0016,0.0013,0.50504633,0.984611059
Trinity Christian College,783,15249658,34325,46878,0.667,0.7068,13,8,1088,21,10,0.3844,0.6156,0.0204,0.1392,0.5556,0.2005,0.0038,0.0038,0.63128671,0.961090417
Trinity International University-Illinois,409,50065977,33898,40161,0.5142,0.9126,11,11,1076,21,12,0.6235,0.3765,0.0171,0.198,0.4474,0.2005,0,0.0098,0.72004054,0.95553253
Wheaton College,2141,529360236,42240,39703,0.8831,0.8843,14,11,1367,21,12,0.4423,0.5577,0.1009,0.0257,0.6861,0.0766,0.0005,0.0005,0.51255743,0.990372264
Anderson University,1111,40596000,34080,42733,0.5769,0.5175,10,11,1090,13,9,0.4878,0.5122,0.0153,0.1035,0.7408,0.0549,0,0,0.43725501,0.999570496
Ball State University,13466,240976230,10440,42646,0.6559,0.6895,10,16,1191,13,15,0.388,0.612,0.0194,0.0965,0.7472,0.0724,0.0013,0.0007,0.42675961,0.963496742
Bethel University,1115,10183492,32040,43523,0.6416,0.9947,10,11,850,13,12,0.4009,0.5991,0.0188,0.0744,0.678,0.1112,0.0018,0,0.52205852,0.971474627
Butler University,4304,265591000,44460,49668,0.8191,0.8206,14,14,1262,11,11,0.4089,0.5911,0.0404,0.0388,0.8044,0.0634,0.0016,0,0.34578092,0.975919259
DePauw University,1732,719982432,55410,42104,0.8596,0.658,12,11,1275,32,9,0.4931,0.5069,0.0271,0.0577,0.5918,0.0808,0,0,0.63918042,0.999862622
Earlham College,589,426217096,50058,22339,0.6596,0.7324,12,8,1261,32,6,0.4686,0.5314,0.0272,0.0764,0.5654,0.0866,0,0,0.66624648,0.997153248
University of Evansville,1460,156822698,41336,40876,0.6738,0.7632,12,11,1180,12,10,0.3836,0.6164,0.0308,0.0466,0.7685,0.0486,0.0041,0.0007,0.40390829,0.960544958
Franklin College,859,87037997,36136,39590,0.6482,0.9286,10,8,1096,21,11,0.5297,0.4703,0.0198,0.0559,0.8091,0.0536,0.0012,0,0.33896594,0.997453327
Goshen College,704,122498360,36660,43230,0.6897,0.9354,11,8,1132,13,9,0.3835,0.6165,0.0241,0.0455,0.4659,0.294,0.0014,0.0014,0.69384621,0.960476501
Grace College and Theological Seminary,1458,23802818,29048,39167,0.6754,0.8462,12,11,1103,32,18,0.393,0.607,0.0171,0.0322,0.7942,0.0748,0.0021,0.0014,0.3623157,0.96670829
Hanover College,949,159262743,41559,36061,0.7014,0.7411,12,11,1214,32,11,0.4995,0.5005,0.0063,0.0474,0.7692,0.0263,0.0095,0,0.40526297,0.999999279
Holy Cross College,422,16919739,34800,29315,0.5043,0.7617,14,8,1320,21,10,0.5829,0.4171,0.0166,0.0569,0.5427,0.2488,0.0071,0,0.64001169,0.980078551
Huntington University,1066,32017229,28830,38698,0.6327,0.775,10,11,1100,32,12,0.379,0.621,0.0178,0.0356,0.8377,0.0206,0.0066,0.0047,0.2961845,0.957332691
Purdue University Fort Wayne,5482,78129799,8985,44088,0.4166,0.8066,10,12,1101,11,13,0.51,0.49,0.0527,0.0655,0.7138,0.0949,0.0015,0.0004,0.4744136,0.999711442
Indiana University-Purdue University-Indianapolis,17278,2180644869,10144,49273,0.538,0.8289,11,15,1157,11,13,0.407,0.593,0.0685,0.1044,0.6123,0.1314,0.0009,0.0002,0.59223029,0.974898337
University of Southern Indiana,5491,127727513,10210,44857,0.5277,0.9444,11,13,1139,22,16,0.3646,0.6354,0.02,0.0382,0.8459,0.0397,0.0013,0.0007,0.28101568,0.946435408
Indiana University-Kokomo,2419,11793240,7941,43591,0.4665,0.8575,11,9,1105,13,14,0.3448,0.6552,0.0153,0.0455,0.7768,0.1021,0.0008,0.0004,0.38385221,0.929338079
Indiana University-South Bend,3666,34793837,7941,43533,0.4029,0.8688,7,12,1064,12,12,0.35,0.65,0.0205,0.0829,0.6195,0.1999,0.0014,0,0.56896512,0.934068055
Indiana University-Bloomington,35401,1669099260,11447,48621,0.8008,0.8241,12,16,1322,13,17,0.5037,0.4963,0.0915,0.0417,0.6768,0.0821,0.0004,0.0002,0.52509001,0.999960499
Indiana University-Northwest,2711,17562589,7941,44647,0.3562,0.8031,7,9,1068,13,12,0.2527,0.7473,0.0325,0.1682,0.4596,0.2925,0.0004,0.0004,0.67386378,0.815529544
Indiana University-Southeast,3133,27213540,7941,43667,0.4025,0.8523,7,12,1124,21,12,0.3891,0.6109,0.0207,0.0584,0.8066,0.0565,0.001,0,0.34236414,0.96421629
Indiana University-East,2472,9359376,7941,44082,0.4991,0.7755,7,9,1092,41,13,0.3491,0.6509,0.021,0.0603,0.7553,0.0688,0.0016,0.0004,0.42070866,0.93326171
Indiana Wesleyan University-Marion,2097,229901930,29684,55743,0.7316,0.8672,12,11,1120,32,13,0.3634,0.6366,0.0243,0.0496,0.8221,0.0439,0.0029,0.0005,0.31916507,0.945469301
University of Notre Dame,8917,17101110000,60301,70362,0.9632,0.1291,14,17,1515,21,9,0.5137,0.4863,0.057,0.0393,0.6372,0.1304,0.0016,0.0017,0.57217306,0.999458373
Oakland City University,604,11034282,26400,44176,0.63,0.5572,11,8,1010,32,11,0.5497,0.4503,0.0149,0.1258,0.6192,0.0348,0.005,0,0.59930767,0.992861044
Rose-Hulman Institute of Technology,2154,250558322,54602,80344,0.8405,0.7302,14,11,1398,13,12,0.7563,0.2437,0.078,0.0376,0.682,0.0511,0.0028,0,0.52475919,0.801139298
University of Saint Francis-Fort Wayne,1572,33875041,34050,49834,0.5518,0.9806,10,9,1050,11,12,0.3365,0.6635,0.0178,0.1062,0.6864,0.0973,0.0032,0.0013,0.50778054,0.921430001
Saint Mary-of-the-Woods College,801,11035079,32700,42580,0.5114,0.7817,11,7,1021,41,9,0.2347,0.7653,0.0112,0.0849,0.7453,0.0824,0.0037,0.0025,0.43038476,0.786114909
Saint Mary's College,1378,330806222,49930,45753,0.8,0.8389,12,11,1259,21,9,0,1,0.016,0.0174,0.7692,0.1488,0,0.0007,0.38563067,0
Taylor University,1767,117969612,37476,39248,0.7429,0.7461,12,11,1233,32,13,0.4595,0.5405,0.0306,0.0283,0.8076,0.0475,0.0006,0.0017,0.34378549,0.99526205
Valparaiso University,2342,326748000,44796,53991,0.6987,0.9415,12,11,1260,21,11,0.4291,0.5709,0.0307,0.064,0.7071,0.105,0.0009,0,0.48394529,0.98544669
Wabash College,835,385199753,47475,42841,0.7451,0.6149,12,8,1230,32,9,1,0,0.0156,0.0359,0.7293,0.1138,0,0,0.4536389,0
Buena Vista University,1419,150992944,38644,41622,0.5794,0.7727,13,11,1115,33,12,0.3531,0.6469,0.0092,0.0289,0.7787,0.1135,0.007,0.0021,0.3797708,0.936806188
Central College,1135,97697890,19800,41714,0.6691,0.7924,10,11,1117,32,13,0.5225,0.4775,0.0097,0.0282,0.8529,0.0502,0.0018,0.0018,0.26914574,0.998538778
Clarke University,724,31325938,38060,44247,0.6528,0.848,11,8,1055,13,9,0.558,0.442,0.0097,0.1409,0.5594,0.0994,0.0014,0.0028,0.65723458,0.990271661
Cornell College,1056,82014619,49158,34521,0.69,0.7933,12,8,1253,31,13,0.5218,0.4782,0.036,0.0682,0.7472,0.09,0.0095,0.0038,0.42754023,0.998628312
Dordt University,1472,59142707,34600,46256,0.7187,0.8767,12,11,1182,33,14,0.5115,0.4885,0.0095,0.0027,0.8003,0.0265,0.002,0.0007,0.35871563,0.999618374
Drake University,2794,245420135,47912,51837,0.7903,0.6723,12,14,1304,12,10,0.3994,0.6006,0.0501,0.0623,0.7208,0.0734,0.0011,0.0004,0.46866713,0.970598535
Emmaus Bible College,188,1533465,19800,29569,0.7841,1,10,8,1090,13,7,0.4521,0.5479,0.0106,0.0638,0.734,0.0372,0.0106,0.0053,0.45553691,0.993369568
Faith Baptist Bible College and Theological Seminary,313,4292585,18740,26513,0.4946,0.5245,12,8,1090,21,15,0.4888,0.5112,0.0096,0.0096,0.8435,0.0415,0.0064,0.0032,0.28654998,0.999638026
Grinnell College,1709,2484419000,61480,33404,0.8787,0.1076,14,11,1480,33,9,0.4722,0.5278,0.0755,0.0439,0.526,0.0831,0,0,0.70879093,0.997768905
Iowa State University,24994,1407463791,10133,50667,0.739,0.9022,13,16,1197,13,18,0.5589,0.4411,0.0437,0.0263,0.7705,0.0713,0.0016,0.0007,0.39864163,0.989966695
Iowa Wesleyan University,734,18993810,34700,38539,0.3927,0.8081,10,8,1003,33,13,0.5668,0.4332,0.0027,0.1757,0.4223,0.0627,0.0014,0.0027,0.78684439,0.987086119
University of Iowa,21545,3053761000,10353,47110,0.7149,0.86,12,16,1222,13,16,0.4392,0.5608,0.0475,0.0301,0.7453,0.0892,0.0014,0.0007,0.43340656,0.989307309
Luther College,1603,195931642,48160,42759,0.7592,0.7532,12,11,1241,33,11,0.4529,0.5471,0.0175,0.0293,0.7486,0.0661,0.0056,0.0044,0.43401337,0.993589521
Mount Mercy University,1201,34358994,37606,53520,0.691,0.7527,9,10,1090,12,13,0.3705,0.6295,0.0233,0.0758,0.7061,0.0225,0.0017,0,0.49462512,0.951055232
University of Northern Iowa,7571,167662993,9411,43293,0.6666,0.9495,13,13,1121,13,17,0.382,0.618,0.0153,0.0292,0.8459,0.0555,0.0012,0.0004,0.28028461,0.959442321
Saint Ambrose University,2108,194047309,34570,51020,0.6505,0.7392,13,11,1153,12,12,0.4583,0.5417,0.0194,0.0536,0.722,0.1025,0.0014,0.0009,0.46495766,0.994976791
St Luke's College,196,1249010,20940,60951,0.7488,0.8,5,6,910,13,6,0.0816,0.9184,0.0051,0.051,0.6786,0.2041,0.0153,0,0.49498413,0.40779195
Simpson College,1115,95247154,45108,44065,0.6955,0.891,12,11,1410,31,10,0.4807,0.5193,0.0152,0.0359,0.7776,0.0942,0,0.0009,0.38494394,0.998924954
Upper Iowa University,2203,19769502,33639,50687,0.4796,0.5423,5,10,1065,43,13,0.4194,0.5806,0.0191,0.1707,0.616,0.0813,0.0064,0.0032,0.58437981,0.981173431
Wartburg College,1402,94173822,49190,45643,0.6497,0.9745,10,11,1113,32,13,0.4957,0.5043,0.0064,0.0428,0.7939,0.0414,0.0007,0.0014,0.36613358,0.999946648
William Penn University,1362,7403742,27800,40662,0.4225,0.5767,13,11,971,33,18,0.4963,0.5037,0.0088,0.1652,0.5705,0.0991,0.0066,0.0103,0.63719081,0.999960499
Baker University,1115,49600633,32320,57061,0.6182,0.9175,11,10,1050,31,13,0.4628,0.5372,0.017,0.1004,0.6404,0.1166,0.0126,0.0036,0.5657514,0.99600339
Benedictine College,2155,41986243,33720,43628,0.6524,0.9883,12,11,1220,32,14,0.4951,0.5049,0.0158,0.0311,0.7675,0.1137,0.0028,0.0028,0.39678353,0.999930721
Bethany College,684,11395817,31305,30104,0.3875,0.6603,11,8,1010,33,11,0.6023,0.3977,0.0175,0.1988,0.4722,0.1886,0.0146,0.0073,0.70136306,0.969589271
Bethel College-North Newton,497,27577842,32090,44907,0.473,0.9715,11,8,1082,32,10,0.5231,0.4769,0.0181,0.1811,0.5392,0.1569,0.0362,0.004,0.65019449,0.998459779
Emporia State University,2663,97388972,7001,44153,0.5042,0.9567,11,13,1090,33,17,0.3669,0.6331,0.0128,0.0342,0.7262,0.0616,0.0079,0.0011,0.4674419,0.948262057
Fort Hays State University,10066,137188977,5430,46394,0.5738,0.8802,5,12,1051,33,15,0.3929,0.6071,0.0107,0.0267,0.5014,0.0552,0.003,0.0007,0.74471413,0.966645543
Friends University,993,58722366,31812,43917,0.4777,0.6327,11,10,1112,11,12,0.4975,0.5025,0.0141,0.1168,0.5206,0.1944,0.004,0.003,0.67731823,0.999981966
University of Kansas,18539,2303429732,11167,48168,0.6531,0.8784,12,16,1192,13,17,0.4644,0.5356,0.0607,0.0415,0.6931,0.0994,0.0044,0.0009,0.50430512,0.996340076
Manhattan Christian College,121,4406765,17914,33667,0.5191,0.4796,6,7,1090,13,12,0.5124,0.4876,0.0083,0.0579,0.7851,0.0744,0.0083,0,0.37459244,0.999556297
McPherson College,812,53371147,33536,40135,0.4901,0.6588,15,8,1026,33,13,0.6798,0.3202,0.0209,0.1355,0.5222,0.186,0.0296,0.0037,0.67302425,0.904598818
MidAmerica Nazarene University,975,14056637,34832,60592,0.6667,0.6682,13,11,1048,21,11,0.4585,0.5415,0.0133,0.1385,0.6133,0.0544,0.0092,0.0072,0.60140813,0.995024915
Ottawa University-Ottawa,851,3823802,33380,49101,0.4538,0.7823,11,8,993,32,11,0.6345,0.3655,0.0129,0.1704,0.5018,0.1633,0.0129,0.0094,0.69207253,0.947154102
Pittsburg State University,4221,103278157,7970,45942,0.5564,0.8618,11,13,1090,32,14,0.5082,0.4918,0.0073,0.0365,0.7816,0.0749,0.0166,0.0007,0.38182984,0.999805978
University of Saint Mary,798,17969961,32540,47413,0.5681,0.8193,11,10,1045,31,12,0.5363,0.4637,0.0138,0.1378,0.5088,0.208,0.005,0.0038,0.67863984,0.996194603
Southwestern College,1050,26656485,36650,52409,0.4279,0.7016,5,7,1026,32,9,0.6648,0.3352,0.019,0.1495,0.421,0.1457,0.0105,0.0067,0.77866412,0.920151201
Sterling College,566,13468512,30000,33594,0.4945,0.611,11,8,1076,42,9,0.6325,0.3675,0,0.1254,0.5742,0.0795,0.0053,0.0018,0.64821762,0.948733167
Wichita State University,10304,320097999,8866,45870,0.5068,0.9485,9,15,1118,11,20,0.4433,0.5567,0.0722,0.0589,0.5791,0.1595,0.006,0.0014,0.63048293,0.990703804
Alice Lloyd College,538,57103324,14250,30744,0.4247,0.9833,10,8,980,43,16,0.5297,0.4703,0.0037,0.0651,0.9015,0.0112,0.0056,0,0.18288925,0.997453327
Bellarmine University,2275,71030451,46030,48319,0.6637,0.8778,12,10,1191,11,12,0.3829,0.6171,0.0299,0.0778,0.738,0.076,0.0018,0.0018,0.44262667,0.960064478
Berea College,1412,1418870700,45026,26841,0.6871,0.2458,12,11,1220,32,8,0.403,0.597,0.039,0.187,0.4426,0.1544,0,0.0007,0.74377539,0.972678454
Centre College,1347,408796421,48070,35290,0.8354,0.6285,14,11,1366,32,10,0.4833,0.5167,0.0431,0.0572,0.7305,0.0713,0.0015,0,0.45615436,0.999195144
University of the Cumberlands,4609,164485925,9875,45499,0.651,0.8302,11,13,1049,33,18,0.3307,0.6693,0.0056,0.0276,0.3569,0.0048,0.0017,0.002,0.87179934,0.915639961
Eastern Kentucky University,11215,78572624,9844,39393,0.4773,0.6431,11,16,1051,32,16,0.4078,0.5922,0.0129,0.0691,0.8042,0.0504,0.0025,0.0011,0.34577352,0.975330828
Georgetown College,1204,37421335,41600,39839,0.4984,0.7152,12,11,1093,31,14,0.4659,0.5341,0.0058,0.0831,0.7558,0.0648,0,0.0008,0.41762743,0.996642234
Kentucky State University,1343,19063354,9004,30808,0.3582,0.915,10,11,889,32,11,0.3961,0.6039,0.0052,0.8079,0.0804,0.0208,0.0045,0,0.3403535,0.968623475
Kentucky Wesleyan College,760,38714749,31300,33668,0.4513,0.6855,11,8,1053,13,12,0.5026,0.4974,0.0171,0.1355,0.6908,0.0487,0.0026,0,0.50176425,0.999980495
University of Kentucky,22115,1754167989,12859,45496,0.6539,0.9489,12,16,1189,11,17,0.4219,0.5781,0.0358,0.0673,0.7604,0.0614,0.0019,0.0007,0.41220685,0.98232797
Kentucky Christian University,448,7041656,23700,43328,0.3234,0.4439,10,8,959,32,13,0.6853,0.3147,0,0.2455,0.6049,0.0558,0.0022,0.0067,0.57066237,0.89852451
University of Louisville,13822,883606000,12520,48648,0.568,0.8154,13,15,1153,11,13,0.4451,0.5549,0.053,0.149,0.6474,0.0731,0.0014,0.0005,0.55051742,0.991285846
Midway University,1187,28926670,25050,40330,0.4874,0.9376,11,10,1113,42,15,0.3774,0.6226,0.0067,0.1011,0.7127,0.0708,0.0042,0,0.47676233,0.956185008
Murray State University,6588,106596412,9432,38962,0.5661,0.8398,13,13,1109,33,16,0.3865,0.6135,0.0083,0.0589,0.7763,0.0296,0.0014,0.0003,0.392942,0.962503691
Northern Kentucky University,8677,119757000,10592,44702,0.4953,0.8601,13,15,1123,21,17,0.411,0.589,0.0169,0.0702,0.7701,0.0455,0.0014,0.001,0.39965913,0.977022579
The Southern Baptist Theological Seminary,874,94824550,12000,58381,0.3896,0.8723,6,10,1112,11,20,0.5561,0.4439,0.024,0.0183,0.897,0.008,0,0,0.19441611,0.990899922
Spalding University,635,22595678,27300,49340,0.5022,0.9764,11,10,1013,11,9,0.3354,0.6646,0.0189,0.211,0.6299,0.0803,0,0,0.55189969,0.920348651
Thomas More University,1420,34267985,35810,56001,0.5146,0.9424,10,10,1092,21,14,0.5099,0.4901,0.0127,0.0803,0.7585,0.0387,0.0014,0,0.41656872,0.999717184
Transylvania University,976,220712248,43670,32785,0.7053,0.9079,14,8,1250,11,10,0.4385,0.5615,0.0328,0.0523,0.7787,0.0533,0.0041,0,0.38695748,0.989059048
Union College,711,24767823,30946,43672,0.3829,0.5342,11,10,980,33,9,0.6006,0.3994,0.0042,0.1547,0.6188,0.0506,0.0056,0.0113,0.59041742,0.970598535
Western Kentucky University,12149,19854237,11112,40545,0.52,0.9695,10,16,1088,13,18,0.3836,0.6164,0.0283,0.0897,0.7675,0.0537,0.0024,0.0011,0.39920611,0.960544958
Centenary College of Louisiana,511,123340027,38820,32432,0.5666,0.6365,12,8,1188,12,8,0.454,0.546,0.0294,0.1781,0.6184,0.0939,0.0157,0,0.57593377,0.993885872
Dillard University,1220,92755906,20224,26414,0.4928,0.7989,10,11,1082,11,13,0.2443,0.7557,0.0008,0.8664,0.0041,0.027,0.0025,0.0016,0.24859578,0.802118201
Grambling State University,4163,8181377,7683,27116,0.3764,0.4237,10,14,938,32,25,0.3622,0.6378,0.0007,0.9142,0.005,0.0139,0.0019,0.0002,0.16401601,0.944494214
Louisiana State University-Alexandria,3600,20073359,7050,42113,0.3552,0.5767,7,9,1019,41,14,0.2817,0.7183,0.0267,0.1972,0.5989,0.0178,0.0583,0,0.59800233,0.857756852
Louisiana State University and Agricultural & Mechanical College,27729,632722297,11954,42361,0.6954,0.7572,12,16,1221,12,22,0.4517,0.5483,0.0501,0.1731,0.6264,0.0925,0.0054,0.0009,0.5665632,0.993258194
Louisiana State University-Shreveport,2137,24591153,7327,40265,0.373,0.8891,9,12,1091,12,24,0.3982,0.6018,0.0159,0.2475,0.5681,0.015,0.007,0.0014,0.61547737,0.969887919
Louisiana Christian University,767,41881314,19720,42657,0.3697,0.7461,10,8,1085,23,11,0.545,0.455,0.0065,0.2608,0.6037,0.0352,0.0091,0.0013,0.56616388,0.994149171
Louisiana Tech University,7434,86292776,10065,44484,0.566,0.6237,12,13,1190,32,23,0.5663,0.4337,0.0114,0.1053,0.7314,0.0484,0.0047,0.0005,0.45147109,0.987279288
McNeese State University,4928,18915693,8440,43129,0.479,0.7124,12,12,1089,13,19,0.3922,0.6078,0.0175,0.1597,0.6609,0.0436,0.0061,0.0008,0.53546204,0.96620462
University of New Orleans,4925,23378960,9172,39311,0.4623,0.6976,11,13,1088,11,18,0.496,0.504,0.091,0.2333,0.4359,0.1287,0.0043,0.001,0.73069812,0.999953833
Nicholls State University,4808,16807980,8156,41613,0.4831,0.9843,10,12,1088,13,17,0.3634,0.6366,0.0154,0.1778,0.6641,0.0555,0.0258,0.0008,0.52337466,0.945469301
University of Louisiana at Monroe,5032,37328263,9082,43406,0.5321,0.7011,12,13,1132,13,17,0.342,0.658,0.0151,0.2309,0.6051,0.0306,0.0036,0.0004,0.57936169,0.926719721
Northwestern State University of Louisiana,6243,16816137,8672,45870,0.4562,0.9793,7,12,1089,33,17,0.2814,0.7186,0.0098,0.2957,0.535,0.0662,0.0131,0.0008,0.62168578,0.857351403
Franciscan Missionaries of Our Lady University,844,11112553,15012,65892,0.4708,0.8478,5,6,1120,12,10,0.1564,0.8436,0.0308,0.2287,0.6505,0.0652,0.013,0.0012,0.51917594,0.625627226
Southeastern Louisiana University,9567,20049485,8373,40676,0.4268,0.9898,10,15,1090,13,18,0.3746,0.6254,0.0096,0.1976,0.6627,0.0723,0.0019,0.0007,0.5164594,0.954138724
Southern University and A & M College,5171,11051970,9940,40903,0.3911,0.539,10,14,940,12,18,0.3249,0.6751,0.0023,0.946,0.0077,0.0087,0.0019,0.0002,0.10494008,0.909630645
Southern University at New Orleans,1144,3137803,7471,33307,0.3711,0.9353,7,10,950,11,13,0.2264,0.7736,0.0017,0.9309,0.0201,0.0122,0.0009,0,0.13286864,0.771682713
Tulane University of Louisiana,8490,2001112000,62844,46903,0.6981,0.1145,14,16,1443,11,8,0.3842,0.6158,0.0529,0.0651,0.677,0.0923,0.0007,0.0006,0.52611444,0.960954418
Xavier University of Louisiana,2681,164104719,26863,24449,0.5295,0.9516,12,14,1103,11,13,0.2223,0.7777,0.0246,0.8631,0.0134,0.0407,0.0004,0.0004,0.25261686,0.764345053
Bates College,1790,418543930,61066,42831,0.9189,0.1374,14,11,1480,13,10,0.4726,0.5274,0.0637,0.0508,0.6235,0.0905,0.0022,0.0011,0.59641312,0.997832679
Bowdoin College,1909,2472818000,61528,50632,0.9521,0.0919,14,11,1520,31,9,0.484,0.516,0.0932,0.0602,0.5563,0.1325,0.001,0.0016,0.66066022,0.999261214
Colby College,2299,1122451000,63520,43563,0.8996,0.0761,14,11,1501,33,10,0.4759,0.5241,0.0983,0.0535,0.5607,0.08,0.0017,0.0004,0.66668732,0.998323487
University of Maine at Farmington,1217,15355000,9890,36871,0.5991,0.9417,10,11,1110,33,11,0.3484,0.6516,0.0049,0.0247,0.8751,0.037,0.0041,0.0008,0.23217944,0.932630997
University of Maine,8720,456236000,12136,43355,0.5562,0.9396,10,13,1202,23,14,0.5185,0.4815,0.0171,0.0171,0.8303,0.0506,0.0078,0.0003,0.3073958,0.99901225
